Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,UNBOUNDED_WG,WG_NUM,VECTOR_SIZE,USE_ATOMICS
reduce,98695,134217728,32,32,0,24,2,1
reduce,87745,67108864,32,32,0,24,4,1
reduce,94285,33554432,32,32,0,24,8,1
reduce,83723,16777216,32,32,0,24,16,1
reduce,109441,268435456,32,32,0,48,1,1
reduce,95741,134217728,32,32,0,48,2,1
reduce,83994,67108864,32,32,0,48,4,1
reduce,84449,33554432,32,32,0,48,8,1
reduce,88232,16777216,32,32,0,48,16,1
reduce,107603,268435456,32,32,0,96,1,1
reduce,95770,134217728,32,32,0,96,2,1
reduce,85577,67108864,32,32,0,96,4,1
reduce,104432,33554432,32,32,0,96,8,1
reduce,89476,16777216,32,32,0,96,16,1
reduce,95070,268435456,32,32,0,192,1,1
reduce,93493,134217728,32,32,0,192,2,1
reduce,84758,67108864,32,32,0,192,4,1
reduce,104075,33554432,32,32,0,192,8,1
reduce,105383,16777216,32,32,0,192,16,1
reduce,96231,268435456,32,32,0,384,1,1
reduce,103358,134217728,32,32,0,384,2,1
reduce,83917,67108864,32,32,0,384,4,1
reduce,96034,33554432,32,32,0,384,8,1
reduce,100375,16777216,32,32,0,384,16,1
reduce,178208,268435456,32,32,1,0,1,0
reduce,141853,134217728,32,32,1,0,2,0
reduce,103807,67108864,32,32,1,0,4,0
reduce,98238,33554432,32,32,1,0,8,0
reduce,100412,16777216,32,32,1,0,16,0
reduce,94876,268435456,64,64,0,24,1,1
reduce,90000,134217728,64,64,0,24,2,1
reduce,87978,67108864,64,64,0,24,4,1
reduce,83456,33554432,64,64,0,24,8,1
reduce,116624,16777216,64,64,0,24,16,1
reduce,122623,268435456,64,64,0,48,1,1
reduce,103424,134217728,64,64,0,48,2,1
reduce,88099,67108864,64,64,0,48,4,1
reduce,97663,33554432,64,64,0,48,8,1
reduce,89731,16777216,64,64,0,48,16,1
reduce,97468,268435456,64,64,0,96,1,1
reduce,104944,134217728,64,64,0,96,2,1
reduce,99291,67108864,64,64,0,96,4,1
reduce,102336,33554432,64,64,0,96,8,1
reduce,85481,16777216,64,64,0,96,16,1
reduce,109172,268435456,64,64,0,192,1,1
reduce,92330,134217728,64,64,0,192,2,1
reduce,92748,67108864,64,64,0,192,4,1
reduce,102857,33554432,64,64,0,192,8,1
reduce,99219,16777216,64,64,0,192,16,1
reduce,105419,268435456,64,64,0,384,1,1
reduce,84907,134217728,64,64,0,384,2,1
reduce,87492,67108864,64,64,0,384,4,1
reduce,87851,33554432,64,64,0,384,8,1
reduce,92450,16777216,64,64,0,384,16,1
reduce,110984,268435456,64,64,1,0,1,0
reduce,100875,134217728,64,64,1,0,2,0
reduce,90612,67108864,64,64,1,0,4,0
reduce,86111,33554432,64,64,1,0,8,0
reduce,91964,16777216,64,64,1,0,16,0
reduce,117271,268435456,128,128,0,24,1,1
reduce,105198,134217728,128,128,0,24,2,1
reduce,97039,67108864,128,128,0,24,4,1
reduce,100037,33554432,128,128,0,24,8,1
